PE x,PE y,Stride,Size (elems),Size (kB),Processed Size (elems),Processed Size (kB),Stop Cycle,Start Cycle,Num Cycles,GB/s,Elems/Cycle
350,350,1,256,0.512,256,0.512,240775744518747,240775744518929,182,2.3912087912087916,1.4065934065934067
350,360,1,256,0.512,256,0.512,270436541136304,270436541136487,183,2.3781420765027326,1.3989071038251366
350,370,1,256,0.512,256,0.512,280369395843016,280369395843199,183,2.3781420765027326,1.3989071038251366
350,380,1,256,0.512,256,0.512,276887834065666,276887834065848,182,2.3912087912087916,1.4065934065934067
350,390,1,256,0.512,256,0.512,241879050287867,241879050288049,182,2.3912087912087916,1.4065934065934067
350,400,1,256,0.512,256,0.512,279265869622723,279265869622906,183,2.3781420765027326,1.3989071038251366
350,410,1,256,0.512,256,0.512,280358265880585,280358265880769,184,2.365217391304348,1.391304347826087
350,420,1,256,0.512,256,0.512,140578481961733,140578481961916,183,2.3781420765027326,1.3989071038251366
350,430,1,256,0.512,256,0.512,274873561118722,274873561118904,182,2.3912087912087916,1.4065934065934067
350,440,1,256,0.512,256,0.512,272399642770880,272399642771062,182,2.3912087912087916,1.4065934065934067
350,450,1,256,0.512,256,0.512,265978415676603,265978415676786,183,2.3781420765027326,1.3989071038251366
360,300,1,256,0.512,256,0.512,92354597878633,92354597878815,182,2.3912087912087916,1.4065934065934067
360,310,1,256,0.512,256,0.512,281431890178542,281431890178724,182,2.3912087912087916,1.4065934065934067
360,320,1,256,0.512,256,0.512,279215655397382,279215655397565,183,2.3781420765027326,1.3989071038251366
360,330,1,256,0.512,256,0.512,133010739133674,133010739133858,184,2.365217391304348,1.391304347826087
360,340,1,256,0.512,256,0.512,140726129326563,140726129326745,182,2.3912087912087916,1.4065934065934067
360,350,1,256,0.512,256,0.512,268811256462044,268811256462229,185,2.352432432432433,1.3837837837837839
360,360,1,256,0.512,256,0.512,134668044926980,134668044927162,182,2.3912087912087916,1.4065934065934067
360,370,1,256,0.512,256,0.512,266037756949940,266037756950124,184,2.365217391304348,1.391304347826087
360,380,1,256,0.512,256,0.512,278715388525944,278715388526128,184,2.365217391304348,1.391304347826087
360,390,1,256,0.512,256,0.512,63707199111140,63707199111322,182,2.3912087912087916,1.4065934065934067
360,400,1,256,0.512,256,0.512,255056196269576,255056196269760,184,2.365217391304348,1.391304347826087
360,410,1,256,0.512,256,0.512,235844589025755,235844589025938,183,2.3781420765027326,1.3989071038251366
360,420,1,256,0.512,256,0.512,275970344549381,275970344549564,183,2.3781420765027326,1.3989071038251366
360,430,1,256,0.512,256,0.512,275363220640485,275363220640669,184,2.365217391304348,1.391304347826087
360,440,1,256,0.512,256,0.512,100603081848324,100603081848507,183,2.3781420765027326,1.3989071038251366
360,450,1,256,0.512,256,0.512,266038859658483,266038859658666,183,2.3781420765027326,1.3989071038251366
370,300,1,256,0.512,256,0.512,190206765823688,190206765823871,183,2.3781420765027326,1.3989071038251366
370,310,1,256,0.512,256,0.512,251779202611205,251779202611388,183,2.3781420765027326,1.3989071038251366
370,320,1,256,0.512,256,0.512,221208851041269,221208851041451,182,2.3912087912087916,1.4065934065934067
370,330,1,256,0.512,256,0.512,278167612062938,278167612063122,184,2.365217391304348,1.391304347826087
370,340,1,256,0.512,256,0.512,264973592590567,264973592590751,184,2.365217391304348,1.391304347826087
